,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
296,0,0,0,75.0,75.0,0,38580,0,0,0,0,0.0,0,487,2,1.7,2.5,0,Jose,0.0,0,0,0.0,297,False,0.0,0,0,0,0,0,,55,0,0,0,38580.jpg,0.0,0,0,Fonte,5.3,False,6.0,a,13,20,0.0,0,881,881,8358,8358,0.0,0.0,Fonte,0,0.0,0.0,0.0,0.0
297,0,0,17,,,0,80447,0,0,0,0,0.3,0,152,2,1.1,2.1,2,Maya,2.0,1,0,2.4,298,False,18.0,0,0,0,0,90,,45,0,0,0,80447.jpg,2.0,0,0,Yoshida,0.5,False,3.0,a,13,20,6.0,2,503,503,456,456,0.4,0.4,Yoshida,0,0.006666666666666666,0.4,0.13333333333333333,0.54
298,0,0,15,100.0,100.0,0,169359,0,0,0,0,14.6,0,169,2,1.1,2.1,2,Matt,2.0,1,0,2.7,299,False,8.6,0,0,0,0,90,,45,0,0,0,169359.jpg,2.0,0,0,Targett,0.9,False,33.0,a,13,20,4.0,2,680,680,903,903,0.4,0.4,Targett,0,0.3244444444444444,0.1911111111111111,0.08888888888888889,0.6044444444444443
299,0,0,0,50.0,50.0,0,84395,0,0,0,0,0.0,0,0,2,0.3,0.8,0,Florin,0.0,0,0,0.0,300,False,0.0,0,0,0,0,0,Knee injury - 50% chance of playing,40,0,0,0,84395.jpg,0.0,0,0,Gardos,0.1,False,5.0,d,13,20,0.0,0,63,63,198,198,0.0,0.0,Gardos,0,0.0,0.0,0.0,0.0
300,0,0,9,75.0,75.0,0,58822,0,0,0,0,3.5,0,320,2,1.3,2.1,2,Cédric,2.0,1,0,3.0,301,False,12.6,0,0,0,0,78,,50,0,0,0,58822.jpg,2.0,0,0,Soares,1.2,False,2.0,a,13,20,14.0,2,1085,1085,1213,1213,0.4,0.4,Cédric,0,0.07,0.252,0.28,0.6020000000000001
301,0,0,0,,,0,56192,0,0,0,0,0.0,0,203,2,1.1,2.1,0,Cuco,0.0,0,0,0.0,302,False,0.0,0,0,0,0,0,,45,0,0,0,56192.jpg,0.0,0,0,Martina,0.2,False,15.0,a,13,20,0.0,0,14,14,394,394,0.0,0.0,Martina,0,0.0,0.0,0.0,0.0
302,0,0,14,,,0,97032,0,0,0,0,0.4,0,452,2,2.3,3.3,1,Virgil,1.0,1,0,2.2,303,False,17.2,0,0,0,0,90,,55,0,0,0,97032.jpg,1.0,0,0,van Dijk,13.8,False,17.0,a,13,20,4.0,1,1572,1572,14317,14317,0.2,0.2,van Dijk,1,0.007272727272727273,0.3127272727272727,0.07272727272727272,0.39272727272727265
303,0,3,28,,,0,83283,0,0,0,0,49.1,0,379,3,1.6,2.6,10,Nathan,10.0,1,1,15.9,304,False,47.2,0,0,0,0,90,,60,0,0,0,83283.jpg,10.0,0,0,Redmond,8.6,False,22.0,a,13,20,63.0,10,36364,36364,4471,4471,1.7,1.7,Redmond,0,0.8183333333333334,0.7866666666666667,1.05,2.6550000000000002
304,0,0,15,,,0,17339,0,0,0,0,15.4,0,535,3,1.4,2.4,2,Steven,2.0,1,0,5.4,305,False,10.6,0,0,0,0,90,,55,0,0,0,17339.jpg,2.0,0,0,Davis,1.5,False,8.0,a,13,20,28.0,2,174,174,2476,2476,0.4,0.4,Davis,0,0.28,0.19272727272727272,0.509090909090909,0.9818181818181818
305,0,0,8,,,0,101178,0,0,0,0,14.3,0,266,3,1.4,2.4,1,James,1.0,1,0,2.2,306,False,5.0,0,0,0,0,54,,55,0,0,0,101178.jpg,1.0,0,0,Ward-Prowse,0.4,False,16.0,a,13,20,3.0,1,94,94,695,695,0.2,0.2,Ward-Prowse,0,0.26,0.09090909090909091,0.05454545454545454,0.40545454545454546
